"","urlDrugName","condition","rating","ReviewSentiment","sideEff_num","SideEffectsSentiment","eff_num","BenefitsSentiment","full_commentSentiment"
"1","enalapril","management of congestive heart failure",4,3.33333333333333,8,0,10,5,2
"2","ortho-tri-cyclen","birth prevention",1,5,4,7.5,10,7.5,6.66666666666667
"3","ponstel","menstrual cramps",10,6,10,0,10,4,4.54545454545454
"4","prilosec","acid reflux",3,5.70026541741457,8,0,4,3.33333333333333,2.5
"5","lyrica","fibromyalgia",2,5.70026541741457,4,0,4,5,2.5
"6","propecia","hair loss",1,10,4,6,2,4.57034461482024,6.66666666666667
"7","vyvanse","add",9,6.66666666666667,8,0,10,10,6.36363636363636
"8","elavil","depression",10,5.70026541741457,10,3.64974679448213,8,3.33333333333333,3.33333333333333
"9","xanax","panic disorder",10,5.45454545454545,10,5,10,2.5,5
"10","claritin","allergies",1,10,2,0,2,4,3.75
"11","flagyl","bacterial vaginosis",7,5,6,0,8,10,6.66666666666667
"12","dextroamphetamine","add",8,8.33333333333333,6,0,10,3.33333333333333,6
"13","sarafem","depression",8,2.5,8,0,8,5,4.28571428571429
"14","latisse","sparse eyelashes",9,0,8,0,8,0,0
"15","aldara","skin cancer",4,10,4,2,8,0,1.81818181818182
"16","effexor-xr","anxiety",8,3.33333333333333,10,0,10,3.33333333333333,3.33333333333333
"17","neurontin","nerve disorder",6,6.66666666666667,10,6.66666666666667,6,3.33333333333333,5
"18","omnicef","sore throat ear infections",1,5.70026541741457,4,2,4,4.57034461482024,2
"19","klonopin","generalized anxiety disorder",8,3.63636363636364,8,0,8,8,4.375
"20","dovonex","psoriasis",6,5,10,10,6,10,7.5
"21","protopic","ezcema",8,5,6,5,10,4.57034461482024,5
"22","effexor","panic attacks and depression",9,5.70026541741457,8,0,8,0,0
"23","sotret","acne",10,6.66666666666667,6,3.75,10,4,4.28571428571429
"24","retin-a-micro","anti-aging, acne",8,10,6,7.5,6,10,8.57142857142857
"25","lamotrigine","epilpsy",9,6.66666666666667,8,5,8,0,5.71428571428571
"26","rebif","multiple sclerosis",6,5.70026541741457,6,0,8,4.57034461482024,0
"27","symbicort","asthma, emphysema",10,5.70026541741457,10,3.64974679448213,10,6.66666666666667,6.66666666666667
"28","lamictal","bipolar disorder and depression",8,4,8,2,8,5,3.57142857142857
"29","lyrica","fibromyalgia, failed back syndrome",1,5.70026541741457,4,3.64974679448213,4,0,0
"30","doxycycline","acne",8,10,8,3.64974679448213,8,0,5
"31","vyvanse","adhd",8,6.66666666666667,8,3.64974679448213,8,4.57034461482024,6.66666666666667
"32","actonel","osteoporosis",7,5.71428571428571,8,3.64974679448213,4,10,6.25
"33","provigil","fatigue",7,8,8,10,6,10,8.75
"34","ambien","insomnia",8,8.33333333333333,8,0,8,4.57034461482024,7.69230769230769
"35","wellbutrin","depression",10,3.33333333333333,8,3.33333333333333,10,10,4
"36","propecia","male pattern baldness",8,5.71428571428571,8,3.33333333333333,6,5.71428571428571,4.76190476190476
"37","nortriptyline","a typical migraines",3,5.70026541741457,4,2.5,6,2,2.22222222222222
"38","imitrex","migraine headaches",10,0,8,0,10,0,0
"39","ativan","anxiety",9,10,10,2.85714285714286,8,6.25,5.88235294117647
"40","doxycycline","severe peridontal disease",10,10,10,3.64974679448213,10,3.33333333333333,4.28571428571429
"41","prozac","depression",7,5,8,5,8,0,2
"42","topamax","seizures,migraines,fibro.",6,10,8,3.75,10,0,4
"43","levitra","ed",10,10,10,3.64974679448213,10,10,10
"44","oxycodone","possible lymphoma/kidney pain",7,3.33333333333333,8,0,8,3.33333333333333,2.72727272727273
"45","lamictal","seizure disorder",8,7.5,10,3.64974679448213,10,5,7.5
"46","oxycontin","post surgical pain",7,2.72727272727273,8,0,8,0,2.30769230769231
"47","vicodin","broken collarbone",8,0,8,0,8,5,3.33333333333333
"48","accutane","acne",9,5,6,2.5,10,10,5.45454545454545
"49","zocor","high cholestoral",10,10,8,5,10,10,7.5
"50","aldara","basal cell carcinoma",10,4.28571428571429,10,5,8,5,4.44444444444444
"51","ortho-tri-cyclen","birth control",10,10,10,3.64974679448213,10,0,5
"52","minocycline","treatment of acne",6,4,10,3.64974679448213,4,3.33333333333333,3.33333333333333
"53","estrace","replacement thearpy",10,2.5,8,10,10,7.14285714285714,5.45454545454545
"54","meridia","over weight",10,5.45454545454545,8,3.64974679448213,10,0,5.45454545454545
"55","sotret","acne",8,10,6,0,10,4.57034461482024,5
"56","prevacid","stomach pain",10,5,10,5,10,5,5.71428571428571
"57","cosopt","glaucoma",9,5.70026541741457,8,3.64974679448213,8,0,0
"58","renova","sun damage & fine lines",6,10,6,0,6,4,3.75
"59","depakote","seizure disorder",4,3.33333333333333,4,5.71428571428571,10,0,5
"60","tekturna","hypertension",10,7.5,8,6.66666666666667,10,5,7.77777777777778
"61","renova","wrinkles",10,5,8,0,10,4.57034461482024,5
"62","zegerid","acid reflux",1,8,4,4,6,0,4.54545454545454
"63","sular","mild depression",9,5,10,3.64974679448213,6,0,5
"64","crestor","high cholesterol",10,7.14285714285714,10,6.66666666666667,10,0,5.45454545454545
"65","metformin","anti-aging prophilatic",9,0,10,3.64974679448213,10,10,8
"66","celexa","depression/ anxiety",6,5.70026541741457,6,4,8,5,4.28571428571429
"67","lexapro","depression",6,5.70026541741457,8,0,6,6,6
"68","naproxen","auto accident, severe whiplash",6,5,8,3.64974679448213,6,0,2.5
"69","levoxyl","low thyroid levels",8,6.66666666666667,8,0,8,3.33333333333333,5
"70","synthroid","hypothyroidism",9,8,10,3.64974679448213,10,10,8.88888888888889
"71","spironolactone","acne",6,10,6,0,8,4.57034461482024,3.33333333333333
"72","minocycline","acne",10,10,10,6.66666666666667,10,10,8.57142857142857
"73","oracea","acne",7,5,6,0,8,5,5
"74","paxil","depression/anxiety",8,0,8,5,8,0,2.5
"75","zantac","heratburn",10,10,10,3.64974679448213,10,2.5,5
"76","fosamax","a little bit of osteoporosis in the hips",8,10,10,0,8,8,5.38461538461538
"77","prevacid","gerd",10,3.33333333333333,10,0,10,2,2
"78","tirosint","tsh level was low no clinical symtoms",5,8.33333333333333,10,3.64974679448213,4,6.66666666666667,7.27272727272727
"79","cymbalta","anxiety/ pain",2,5.70026541741457,4,3.84615384615385,8,4,3.63636363636364
"80","ambien-cr","insomnia",8,5.70026541741457,8,6,8,5,5.71428571428571
"81","angeliq","menopause for 2 years, first hormone pill taken",7,10,10,10,8,10,10
